Run,Best Fitness,Mean Fitness,Expected Return,Portfolio Variance,Weights,Training Time
21,0.03503932246929388,0.02339809678037135,0.03503932246929388,0.023663353797928596,"[0.0, 0.0, 0.0, 0.09699652464565704, 0.02810900625737821, 0.6190026822097549, 0.03502347485521156, 0.1460871738615679, 0.024081808281490338, 0.0034943181215762406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007749346149723467, 0.0, 0.0, 0.0065824957076833146, 0.032873169909957076]",0.04213690757751465
22,0.028030622692943992,0.021570859916603846,0.028030622692943992,0.014680563759690303,"[0.0, 0.023228868500739908, 0.010096827344169584, 0.06131946844578122, 0.04119446374907326, 0.4430145985722992, 0.006293775546730589, 0.1706928655831379, 0.004010710134060161, 0.0, 0.01093227249248159, 0.0, 0.05082445195008444, 0.0, 0.0, 0.04812684471212996, 0.0, 0.11102493766733187, 0.0, 0.019239915301980166]",0.042749881744384766
23,0.027734728508688203,0.02029573482373572,0.027734728508688203,0.015034258777052646,"[0.0, 0.042967341794356136, 0.08331806247315643, 0.0, 0.034011506866445364, 0.4872529538464724, 0.04688485739951935, 0.06274716833648719, 0.002041119354511767, 0.003684945199478892, 0.0, 0.05418337184799023, 0.0, 0.028519880950942777, 0.0, 0.02287701495408122, 0.050456143616769825, 0.0, 0.0, 0.08105563335978844]",0.04416704177856445
24,0.03130005966322971,0.023202723349507254,0.03130005966322971,0.018910807194110226,"[0.0, 0.0, 0.11675661693339615, 0.0, 0.0, 0.5827377256131875, 0.001416802583568848, 0.0, 0.04433931818208605, 0.012950071300073395, 0.00903972793169196, 0.0, 0.0, 0.0, 0.0, 0.09608664464561091, 0.0007305041955386241, 0.08339803149364207, 0.0014453521678360118, 0.05109920495336847]",0.04199981689453125
25,0.03385718662043872,0.023113268774780375,0.03385718662043872,0.02144013786206269,"[0.09536439857509532, 0.07853495538138397, 0.0, 0.05608816974460524, 0.0, 0.5957630551405292, 0.0, 0.012725684267725716, 0.0, 0.07849643982603721, 0.0, 0.015633840781647576, 0.0, 0.0, 0.0, 0.032723732124952686, 0.0, 0.0, 0.034669724158023156, 0.0]",0.04181313514709473
26,0.02701224858482967,0.02117960974806891,0.02701224858482967,0.012952079671420098,"[0.06513817164197029, 0.011085726990342038, 0.10156119269667578, 0.018396031396154137, 0.008562403769215889, 0.3782613716757562, 0.0, 0.20232269900391053, 0.019488614028260853, 0.0, 0.0, 0.05193104667870171, 0.0, 0.05095838689008661, 0.0, 0.0, 0.07980566379751058, 0.012488691431415339, 0.0, 0.0]",0.04348111152648926
27,0.02829097144943393,0.021780534384703423,0.02829097144943393,0.015529341782688751,"[0.0, 0.22627794492987657, 0.025731510743135105, 0.0, 0.0, 0.5047037751139986, 0.0, 0.0, 0.0, 0.03771922739464863, 0.049420892735980826, 0.09793977511816095, 0.0, 0.0, 0.00320683236621307, 0.0, 0.0, 0.0, 0.05500004159798627, 0.0]",0.043263912200927734
28,0.026886949484454855,0.02201266866303182,0.026886949484454855,0.013753411522968974,"[0.13226596338324464, 0.0, 0.020493255833465493, 0.08190775975943351, 0.0, 0.40519403494228967, 0.0, 0.09654648595345328, 0.0, 0.06624902677805727, 0.05249313898550474, 0.043877988067440435, 0.0, 0.0034144412847041594, 0.0, 0.0, 0.0, 0.08725105093187846, 0.010306854080528368, 0.0]",0.04349327087402344
29,0.02862701564963121,0.021801170946282814,0.02862701564963121,0.014796578780598812,"[0.21673180655646224, 0.0, 0.009703529168017993, 0.0594502671199352, 0.008832638829383708, 0.44331976827802605, 0.04500648110326107, 0.009356779600265082, 0.1497438573242212, 0.0, 0.0, 0.021025487765893476, 0.006647325071738271, 0.0, 0.004807443548735705, 0.0, 0.0, 0.0, 0.0, 0.025374615634059926]",0.04531121253967285
30,0.028625986557123027,0.021060862730286612,0.028625986557123027,0.015005150900290656,"[0.0, 0.08773336890836816, 0.02133075009510982, 0.0, 0.0, 0.4802622298981622, 0.0, 0.11297845471931513, 0.06359249354818418, 0.0, 0.009213135974757461, 0.03667200782416292, 0.030781628723391144, 0.044654675721947715, 0.0036554096234289535, 0.0, 0.03925522293828207, 0.02063405321572937, 0.0, 0.04923656880916073]",0.04519987106323242
