Run,Best Fitness,Mean Fitness,Expected Return,Portfolio Variance,Weights,Training Time
14,0.006383959816089611,0.005856574066309995,0.019060200129855074,0.004225413437921821,"[0.07854874350065214, 0.7298152419025349, 0.0, 0.0, 0.0030362632372105233, 0.06850713039911177, 0.0012528911040595523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0770246352867932, 0.021776320670090558, 0.0, 0.020038773899547207]",0.1629810333251953
15,0.006355350254608816,0.005985060849996447,0.017761447054195342,0.0038020322665288423,"[0.18063339573832274, 0.719921788002113, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008298024800425761, 0.007962603103582058, 0.0, 0.0, 0.003730786807272033, 0.013113860943756172, 0.0030159762675622255, 0.0, 0.0, 0.05251836990585232, 0.010147196784113476, 0.0006579976470001221, 0.0]",0.16292309761047363
16,0.006149454073018212,0.005791335829420633,0.017098834543738384,0.0036497934902400575,"[0.06342794761777781, 0.8694925337019408, 0.0, 0.0, 0.0, 0.0030713716116724113, 0.0, 0.0, 0.017515342099006116, 0.0, 0.0, 0.02123529348845638, 0.006582203899140981, 0.0, 0.0, 0.01437649898279501, 0.004298808599210176, 0.0, 0.0, 0.0]",0.16936397552490234
17,0.006019634885840414,0.005483566791394188,0.016865836834869852,0.0036154006496764792,"[0.04492087122880148, 0.8060641545278542, 0.0, 0.0, 0.0, 0.03172665509905437, 0.0, 0.002689436415083036, 0.007702595215286361, 0.01144831531150679, 0.0, 0.006999095965623497, 0.05956130253595391, 0.0, 0.0, 0.0, 0.004474436643877205, 0.005630234254033696, 0.0, 0.01878290280292554]",0.16451287269592285
18,0.006098443211904104,0.005579470275837882,0.018071872550296197,0.003991143112797364,"[0.12498637127655146, 0.783774472185601, 0.0, 0.0, 0.00852486075868195, 0.02034817400097506, 0.012342059151489726, 0.0, 0.010520063655452746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016776257714763706, 0.0, 0.022727741256484277, 0.0, 0.0, 0.0]",0.16637802124023438
19,0.00645505675947051,0.0060101153563608106,0.01782654304069152,0.00379049542707367,"[0.15586806382295815, 0.7460469007510967, 0.0, 0.0077999521561257605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0027258933608918148, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0286818367560523, 0.05887735315287526, 0.0, 0.0]",0.1658620834350586
20,0.006535593452280141,0.005912466330443446,0.02006664655810775,0.00451035103527587,"[0.18698920299540725, 0.7599383610381161, 0.0, 0.0, 0.0, 0.04491695048868412, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008155485477792435]",0.16570305824279785
21,0.006229788788671345,0.005735528539307046,0.017403962195569764,0.0037247244689661394,"[0.042160816810204886, 0.794415027315558, 0.0, 0.0, 0.0, 0.03699894122833836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02408153357961963, 0.023344626689269354, 0.0, 0.07899905437700996]",0.16331100463867188
22,0.006028628845660159,0.005759727414406089,0.017924798154343752,0.0039653897695611975,"[0.024408739226831642, 0.791884158012206, 0.0, 0.0, 0.0, 0.0626425486168121, 0.0, 0.0, 0.032840234114070874, 0.0, 0.0, 0.00034979018759970947, 0.0428040464813374, 0.010911667012614663, 0.0, 0.007705533815041779, 0.026453282533485944, 0.0, 0.0, 0.0]",0.16461682319641113
23,0.006146731585605539,0.005463841996013519,0.018298397864400906,0.004050555426265122,"[0.1701248945445525, 0.7776588290622982, 0.0, 0.010815506863565522, 0.0, 0.004983776970840982, 0.0, 0.0, 0.0, 0.03041341476721961, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0060035777915230645, 0.0, 0.0, 0.0]",0.16814374923706055
